省份,专业代码,专业名称,学校标识码,学校名称,年限,备注,年份
西藏自治区,410103,现代农业技术,,日喀则职业技术学院,3,,2025
江西省,410114,农产品加工与质量检测,,赣州远恒佳职业学院,3,,2025
江苏省,410202,园林技术,,苏州旅游职业学院,3,,2025
西藏自治区,440301,建筑工程技术,,日喀则职业技术学院,3,,2025
福建省,460102,数字化设计与制造技术,,集美工业职业学院,3,,2025
江西省,460102,数字化设计与制造技术,,新余职业技术学院,3,,2025
江西省,460102,数字化设计与制造技术,,赣州起元职业学院,3,,2025
江西省,460103,数控技术,,新余职业技术学院,3,,2025
新疆维吾尔自治区,460104,机械制造及自动化,,阜康职业技术学院,3,,2025
江苏省,460110,智能焊接技术,,常州铁道职业技术学院,3,,2025
江西省,460201,智能制造装备技术,,赣州远恒佳职业学院,3,,2025
湖北省,460201,智能制造装备技术,,湖北三峡航空学院,3,,2025
江苏省,460301,机电一体化技术,,常州铁道职业技术学院,3,,2025
江西省,460301,机电一体化技术,,赣州起元职业学院,3,,2025
新疆维吾尔自治区,460301,机电一体化技术,,阜康职业技术学院,3,,2025
福建省,460303,智能控制技术,,集美工业职业学院,3,,2025
江西省,460304,智能机器人技术,,赣州远恒佳职业学院,3,,2025
福建省,460305,工业机器人技术,,集美工业职业学院,3,,2025
江西省,460306,电气自动化技术,,新余职业技术学院,3,,2025
湖北省,460601,飞行器数字化制造技术,,湖北三峡航空学院,3,,2025
湖北省,460607,飞行器维修技术,,湖北三峡航空学院,3,,2025
福建省,470201,应用化工技术,,集美工业职业学院,3,,2025
江西省,480402,服装设计与工艺,,赣州起元职业学院,3,,2025
江西省,480404,针织技术与针织服装,,赣州起元职业学院,3,,2025
江西省,480411,纺织品检验与贸易,,赣州起元职业学院,3,,2025
浙江省,490103,食品营养与健康,,湖州健康职业学院,3,,2025
江苏省,500108,动车组检修技术,,常州铁道职业技术学院,3,,2025
江西省,500211,汽车检测与维修技术,,新余职业技术学院,3,,2025
西藏自治区,500211,汽车检测与维修技术,,日喀则职业技术学院,3,,2025
福建省,500212,新能源汽车检测与维修技术,,集美工业职业学院,3,,2025
湖北省,500403,定翼机驾驶技术,,湖北三峡航空学院,3,,2025
湖北省,500405,空中乘务,,湖北三峡航空学院,3,,2025
江苏省,500602,城市轨道车辆应用技术,,常州铁道职业技术学院,3,,2025
江苏省,500603,城市轨道交通机电技术,,常州铁道职业技术学院,3,,2025
江苏省,500606,城市轨道交通运营管理,,常州铁道职业技术学院,3,,2025
福建省,510202,计算机网络技术,,集美工业职业学院,3,,2025
江西省,510202,计算机网络技术,,赣州远恒佳职业学院,3,,2025
新疆维吾尔自治区,510202,计算机网络技术,,阜康职业技术学院,3,,2025
湖北省,510203,软件技术,,湖北三峡航空学院,3,,2025
湖北省,510209,人工智能技术应用,,湖北三峡航空学院,3,,2025
黑龙江省,520201,护理,,哈尔滨商贸职业学院,3,,2025
黑龙江省,520201,护理,,齐齐哈尔立德健康职业学院,3,,2025
江苏省,520201,护理,,南通卫生健康职业学院,3,,2025
浙江省,520201,护理,,湖州健康职业学院,3,,2025
江西省,520201,护理,,九江卫生健康职业学院,3,,2025
西藏自治区,520201,护理,,日喀则职业技术学院,3,,2025
江西省,520202,助产,,九江卫生健康职业学院,3,,2025
江苏省,520301,药学,,南通卫生健康职业学院,3,,2025
江西省,520301,药学,,九江卫生健康职业学院,3,,2025
江苏省,520410,中药学,,南通卫生健康职业学院,3,,2025
江西省,520416,中医康复技术,,九江卫生健康职业学院,3,,2025
江苏省,520501,医学检验技术,,南通卫生健康职业学院,3,,2025
江西省,520501,医学检验技术,,九江卫生健康职业学院,3,,2025
黑龙江省,520504,口腔医学技术,,齐齐哈尔立德健康职业学院,3,,2025
浙江省,520507,医学美容技术,,湖州健康职业学院,3,,2025
黑龙江省,520601,康复治疗技术,,齐齐哈尔立德健康职业学院,3,,2025
江苏省,520601,康复治疗技术,,南通卫生健康职业学院,3,,2025
浙江省,520601,康复治疗技术,,湖州健康职业学院,3,,2025
黑龙江省,520603,言语听觉康复技术,,齐齐哈尔立德健康职业学院,3,,2025
浙江省,520704,健康大数据管理与服务,,湖州健康职业学院,3,,2025
吉林省,520802,婴幼儿托育服务与管理,,四平现代职业学院,3,,2025
江西省,520802,婴幼儿托育服务与管理,,新余职业技术学院,3,,2025
西藏自治区,520802,婴幼儿托育服务与管理,,日喀则职业技术学院,3,,2025
江苏省,520803,老年保健与管理,,南通卫生健康职业学院,3,,2025
黑龙江省,520901,眼视光技术,,齐齐哈尔立德健康职业学院,3,,2025
黑龙江省,530302,大数据与会计,,哈尔滨商贸职业学院,3,,2025
江苏省,530302,大数据与会计,,苏州旅游职业学院,3,,2025
黑龙江省,530702,跨境电子商务,,哈尔滨商贸职业学院,3,,2025
江苏省,530802,现代物流管理,,苏州旅游职业学院,3,,2025
西藏自治区,530802,现代物流管理,,日喀则职业技术学院,3,,2025
湖北省,530803,航空物流管理,,湖北三峡航空学院,3,,2025
吉林省,530809,智能物流技术,,四平现代职业学院,3,,2025
黑龙江省,530809,智能物流技术,,哈尔滨商贸职业学院,3,,2025
江苏省,540101,旅游管理,,苏州旅游职业学院,3,,2025
新疆维吾尔自治区,540101,旅游管理,,阜康职业技术学院,3,,2025
新疆维吾尔自治区,540103,旅行社经营与管理,,阜康职业技术学院,3,,2025
江苏省,540106,酒店管理与数字化运营,,苏州旅游职业学院,3,,2025
黑龙江省,540111,智慧旅游技术应用,,哈尔滨商贸职业学院,3,,2025
江苏省,540202,烹饪工艺与营养,,苏州旅游职业学院,3,,2025
吉林省,570303,运动训练,,四平现代职业学院,3,,2025
吉林省,570316,体育艺术表演,,四平现代职业学院,3,,2025
吉林省,590302,智慧健康养老服务与管理,,四平现代职业学院,3,,2025
黑龙江省,590302,智慧健康养老服务与管理,,哈尔滨商贸职业学院,3,,2025
浙江省,590302,智慧健康养老服务与管理,,湖州健康职业学院,3,,2025
吉林省,510207,信息安全技术应用,3622000335,长春师范高等专科学校,3,,2025
吉林省,520603,言语听觉康复技术,3622000335,长春师范高等专科学校,3,,2025
吉林省,520801,健康管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,520802,婴幼儿托育服务与管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,520804,心理咨询,3622000335,长春师范高等专科学校,3,,2025
吉林省,520805,医学营养,3622000335,长春师范高等专科学校,3,,2025
吉林省,530605,市场营销,3622000335,长春师范高等专科学校,3,,2025
吉林省,530705,农村电子商务,3622000335,长春师范高等专科学校,3,,2025
吉林省,550106,环境艺术设计,3622000335,长春师范高等专科学校,3,,2025
吉林省,550107,书画艺术,3622000335,长春师范高等专科学校,3,,2025
吉林省,550116,动漫设计,3622000335,长春师范高等专科学校,2,,2025
吉林省,550116,动漫设计,3622000335,长春师范高等专科学校,3,,2025
吉林省,550201,音乐表演,3622000335,长春师范高等专科学校,3,,2025
吉林省,550210,现代流行音乐,3622000335,长春师范高等专科学校,3,,2025
吉林省,570101K,早期教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570102K,学前教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570102K,学前教育,3622000335,长春师范高等专科学校,5,,2025
吉林省,570103K,小学教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570108K,音乐教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570109K,美术教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570110K,体育教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570114K,特殊教育,3622000335,长春师范高等专科学校,3,,2025
吉林省,570307,健身指导与管理,3622000335,长春师范高等专科学校,2,,2025
吉林省,570307,健身指导与管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,570314,冰雪运动与管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,590101,社会工作,3622000335,长春师范高等专科学校,3,,2025
吉林省,590102,党务工作,3622000335,长春师范高等专科学校,3,,2025
吉林省,590103,青少年工作与管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,590104,社区管理与服务,3622000335,长春师范高等专科学校,3,,2025
吉林省,590202,人力资源管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,590301,现代家政服务与管理,3622000335,长春师范高等专科学校,3,,2025
吉林省,590302,智慧健康养老服务与管理,3622000335,长春师范高等专科学校,3,,2025
江苏省,440102,建筑装饰工程技术,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440301,建筑工程技术,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440301,建筑工程技术,3632000466,盐城幼儿师范高等专科学校,5,,2025
江苏省,440304,智能建造技术,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440501,工程造价,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440502,建设工程管理,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440504,建设工程监理,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440601,市政工程技术,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,440601,市政工程技术,3632000466,盐城幼儿师范高等专科学校,5,,2025
江苏省,510108,智能产品开发与应用,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,510201,计算机应用技术,3632000466,盐城幼儿师范高等专科学校,5,,2025
江苏省,510205,大数据技术,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,510207,信息安全技术应用,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,510209,人工智能技术应用,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,510213,移动应用开发,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,520802,婴幼儿托育服务与管理,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,530702,跨境电子商务,3632000466,盐城幼儿师范高等专科学校,3,,2025
江苏省,540101,旅游管理,3632000466,盐城幼儿师范高等专科学校,3,,2025
